 85: 11, 12, 13, 20, 46, 51, 52, 61, 92, 93
 86: 16, 23, 29, 32, 43, 60, 69, 78, 91, 96
 87: 5, 16, 21, 39, 42, 56, 57, 70, 90, 91
 88: 3, 8, 11, 30, 37, 38, 45, 76, 82, 93
 89: 10, 21, 26, 29, 30, 31, 50, 61, 66, 72
 90: 4, 12, 14, 19, 28, 32, 37, 38, 42, 85
 91: 15, 21, 32, 40, 50, 55, 56, 63, 92, 99
 92: 10, 15, 21, 26, 51, 66, 72, 79, 83, 87
 93: 9, 38, 59, 66, 73, 75, 87, 94, 96, 99
 94: 8, 12, 20, 41, 47, 53, 62, 66, 67, 70
 95: 15, 27, 28, 35, 36, 48, 70, 81, 87, 90
 96: 5, 11, 18, 19, 22, 34, 53, 56, 59, 61
 97: 9, 15, 16, 25, 29, 45, 49, 70, 81, 87
 98: 6, 19, 40, 43, 57, 58, 75, 79, 85, 88
 99: 8, 11, 14, 16, 49, 53, 54, 55, 72, 88
 100: 14, 22, 35, 41, 56, 57, 73, 78, 92, 95
